HOPS TO 8.8.8.8

TIME		HOPS	ROUTER IPs

13:17:30	13		172.27.224.1 10.200.10.1 10.1.10.1 10.27.40.90 68.85.151.161 96.216.159.198 96.216.159.173 68.86.93.61 96.110.34.138 66.208.228.170 50.242.150.26 8.8.8.8 
13:17:39	12		172.27.224.1 10.200.10.1 10.1.10.1 10.27.40.91 68.85.151.141 96.216.159.198 96.216.159.173 68.86.93.53 96.110.39.202 96.110.34.130 66.208.228.170 8.8.8.8 
13:17:47	12		172.27.224.1 10.200.10.1 10.27.40.91 96.216.159.173 96.216.159.162 68.86.93.61 96.110.34.138 96.110.32.234 50.208.232.246 8.8.8.8 
13:17:53	12		172.27.224.1 10.200.10.1 10.1.10.1 10.27.40.91 68.85.151.161 96.216.159.173 96.216.159.173 68.86.93.49 68.86.93.53 50.242.150.26 50.242.150.26 8.8.8.8 
13:18:01	12		172.27.224.1 10.200.10.1 10.1.10.1 10.27.40.90 68.85.151.161 96.216.159.198 96.216.159.162 68.86.93.53 68.86.93.61 96.110.32.234 50.242.148.22 8.8.8.8 
13:18:10	12		172.27.224.1 10.200.10.1 10.1.10.1 10.27.40.91 68.85.151.141 96.216.159.173 96.216.159.162 68.86.93.53 68.86.93.61 96.110.39.230 66.208.228.170 8.8.8.8 
13:18:17	12		172.27.224.1 10.200.10.1 10.1.10.1 10.27.40.90 68.85.151.141 96.216.159.198 96.216.159.162 68.86.93.57 96.110.39.206 50.242.150.26 50.242.150.242 8.8.8.8 
13:18:26	12		172.27.224.1 10.200.10.1 10.1.10.1 10.27.40.91 68.85.151.161 96.216.159.173 96.216.159.173 68.86.93.49 68.86.93.57 50.242.150.26 8.8.8.8 
13:18:33	12		172.27.224.1 10.200.10.1 10.1.10.1 10.27.40.91 68.85.151.141 96.216.159.198 96.216.159.173 96.216.159.162 68.86.93.49 50.242.150.242 50.242.150.26 8.8.8.8 
13:18:41	12		172.27.224.1 10.200.10.1 10.1.10.1 10.27.40.90 68.85.151.161 96.216.159.173 96.216.159.162 96.216.159.162 96.110.39.206 50.242.150.26 50.248.118.134 8.8.8.8 
13:18:50	12		172.27.224.1 10.200.10.1 10.1.10.1 10.27.40.90 68.85.151.161 96.216.159.198 96.216.159.173 96.216.159.162 96.110.39.206 50.208.232.246 50.242.150.26 8.8.8.8 
13:18:57	12		172.27.224.1 10.200.10.1 10.1.10.1 10.27.40.90 68.85.151.141 96.216.159.198 96.216.159.173 68.86.93.57 68.86.93.53 50.242.150.26 50.208.232.246 8.8.8.8 
13:19:07	12		172.27.224.1 10.200.10.1 10.1.10.1 10.27.40.91 68.85.151.141 96.216.159.173 96.216.159.173 96.216.159.162 96.110.39.226 50.242.150.242 50.208.232.246 8.8.8.8 
13:19:15	12		172.27.224.1 10.200.10.1 10.1.10.1 10.27.40.90 68.85.151.141 96.216.159.173 96.216.159.162 96.216.159.162 96.110.32.230 50.242.150.26 50.242.150.26 8.8.8.8 
13:19:23	12		172.27.224.1 10.200.10.1 10.1.10.1 10.27.40.90 68.85.151.161 96.216.159.198 96.216.159.173 68.86.93.61 68.86.93.49 96.110.32.230 8.8.8.8 
13:19:28	12		172.27.224.1 10.200.10.1 10.1.10.1 10.27.40.91 68.85.151.161 96.216.159.198 96.216.159.162 96.216.159.162 68.86.93.49 96.110.39.202 50.242.150.26 8.8.8.8 
13:19:37	12		172.27.224.1 10.200.10.1 10.1.10.1 10.27.40.91 68.85.151.141 96.216.159.198 96.216.159.162 96.216.159.162 96.110.34.130 50.248.118.134 50.242.150.26 8.8.8.8 
13:19:46	13		172.27.224.1 10.200.10.1 10.1.10.1 10.27.40.90 68.85.151.141 96.216.159.198 96.216.159.173 96.216.159.162 68.86.93.53 8.8.8.8 
13:19:51	13		172.27.224.1 10.200.10.1 10.1.10.1 10.27.40.91 68.85.151.141 96.216.159.173 96.216.159.162 68.86.93.53 68.86.93.57 50.242.148.22 66.208.228.170 8.8.8.8 
13:20:00	12		172.27.224.1 10.200.10.1 10.1.10.1 10.27.40.90 68.85.151.161 96.216.159.173 96.216.159.162 68.86.93.53 96.110.32.230 96.110.39.226 50.208.232.246 8.8.8.8 
13:20:06	12		172.27.224.1 10.200.10.1 10.1.10.1 10.27.40.91 68.85.151.141 96.216.159.173 96.216.159.173 96.216.159.162 96.110.39.230 50.242.150.26 50.242.150.242 8.8.8.8 
13:20:15	12		172.27.224.1 10.200.10.1 10.1.10.1 10.27.40.90 68.85.151.141 96.216.159.173 96.216.159.173 68.86.93.53 68.86.93.53 96.110.39.230 50.208.232.246 8.8.8.8 
13:20:24	12		172.27.224.1 10.200.10.1 10.1.10.1 10.27.40.90 68.85.151.161 96.216.159.173 96.216.159.173 68.86.93.49 96.110.39.230 50.248.118.134 50.242.150.242 8.8.8.8 
13:20:32	13		172.27.224.1 10.200.10.1 10.1.10.1 10.27.40.90 68.85.151.141 96.216.159.198 96.216.159.173 68.86.93.61 96.110.32.226 96.110.32.230 50.242.150.26 8.8.8.8 
13:20:41	12		172.27.224.1 10.200.10.1 10.1.10.1 10.27.40.91 68.85.151.141 96.216.159.198 96.216.159.173 96.216.159.162 68.86.93.49 96.110.34.142 8.8.8.8 
13:20:47	12		172.27.224.1 10.200.10.1 10.1.10.1 10.27.40.90 68.85.151.161 96.216.159.173 96.216.159.162 96.216.159.162 96.110.34.130 50.242.150.26 50.242.150.242 8.8.8.8 
13:20:57	12		172.27.224.1 10.200.10.1 10.1.10.1 10.27.40.90 68.85.151.141 96.216.159.173 96.216.159.173 68.86.93.61 68.86.93.53 50.248.118.134 50.242.150.242 8.8.8.8 
13:21:05	12		172.27.224.1 10.200.10.1 10.1.10.1 10.27.40.90 68.85.151.141 96.216.159.173 96.216.159.173 68.86.93.49 68.86.93.49 96.110.39.202 8.8.8.8 
13:21:11	12		172.27.224.1 10.200.10.1 10.1.10.1 10.27.40.90 68.85.151.141 96.216.159.198 96.216.159.173 68.86.93.53 68.86.93.57 50.242.150.26 50.208.232.246 8.8.8.8 
13:21:19	12		172.27.224.1 10.200.10.1 10.1.10.1 10.27.40.91 68.85.151.161 96.216.159.173 96.216.159.162 68.86.93.53 96.110.32.234 96.110.34.134 50.242.148.22 8.8.8.8 
13:21:24	12		172.27.224.1 10.200.10.1 10.1.10.1 10.27.40.91 68.85.151.141 96.216.159.173 96.216.159.162 68.86.93.61 68.86.93.61 66.208.228.170 50.242.150.26 8.8.8.8 
13:21:30	12		172.27.224.1 10.200.10.1 10.1.10.1 10.27.40.90 68.85.151.141 96.216.159.198 96.216.159.162 96.216.159.162 96.110.39.230 50.242.150.242 50.242.150.26 8.8.8.8 
13:21:39	12		172.27.224.1 10.200.10.1 10.1.10.1 10.27.40.91 68.85.151.161 96.216.159.173 96.216.159.173 68.86.93.57 96.110.32.234 96.110.32.230 66.208.228.170 8.8.8.8 
13:21:47	12		172.27.224.1 10.200.10.1 10.1.10.1 10.27.40.90 68.85.151.141 96.216.159.198 96.216.159.173 96.216.159.162 96.110.32.226 50.208.232.246 50.208.232.246 8.8.8.8 
13:21:54	12		172.27.224.1 10.200.10.1 10.1.10.1 10.27.40.91 68.85.151.161 96.216.159.198 96.216.159.162 96.216.159.162 68.86.93.49 50.242.150.26 50.208.232.246 8.8.8.8 
13:22:03	12		172.27.224.1 10.200.10.1 10.1.10.1 10.27.40.90 68.85.151.161 96.216.159.198 96.216.159.162 68.86.93.57 68.86.93.53 50.248.118.134 50.208.232.246 8.8.8.8 
13:22:12	
